ghn_ward_id,ma_xa,ten_xa,ghn_district_id,ten_huyen,ghn_province_id,ten_tinh,region,buu_cuc_ma,buu_cuc_ten,am_name,am_phone,nhan_vien,sl_lay,sl_giao
1B2901,08973,Thị trấn Chi Đông,1581,Huyện Mê Linh,201,Hà Nội,HNO,21510000,Bưu Cục Thôn Đại Bái-Đại Thịnh-Mê Linh-HNO,,,,,
XãLongĐiền,,,,,,,TNB,20780000,Bưu Cục Quốc Lộ 1A-Khóm 5-Giá Rai-Bạc Liêu,,,,,
370119,,Xã Nhơn Hội,1662,Thành phố Quy Nhơn,262,Bình Định,TNG,20385000,Bưu Cục 767 Hùng Vương-Quy Nhơn-Bình Định,,,,,
70609,03618,Xã Phúc Than,2025,Huyện Than Uyên,264,Lai Châu,TBB,21448000,Bưu Cục Số 028 Thanh Niên-Than Uyên-Lai Châu,,,,,
230711,04966,Xã Liên Sơn,1968,Huyện Lương Sơn,267,Hòa Bình,TNT,22721000,Bưu Cục 362 Quốc Lộ 6-Xã Lương Sơn-Hòa Bình,,,,,
230710,04942,Xã Lâm Sơn,1968,Huyện Lương Sơn,267,Hòa Bình,TNT,22721000,Bưu Cục 362 Quốc Lộ 6-Xã Lương Sơn-Hòa Bình,,,,,
481109,26359,Xã Xuân Đông,1702,Huyện Cẩm Mỹ,204,Đồng Nai,DNB,21684000,Bưu Cục Ấp 8-Xuân Tây-Cẩm Mỹ-Đồng Nai,,,,,
460906,25723,Xã Gia Bình,2035,Thị xã Trảng Bàng,240,Tây Ninh,DNB,22737000,Bưu Cục An Lợi-Trảng Bàng-Tây Ninh,,,,,
270716,14683,Xã Kim Tân,3205,Huyện Kim Sơn,233,Ninh Bình,TNT,20677000,Bưu Cục Lạc Thiện-Quang Sơn-Ninh Bình,,,,,
280131,16459,Xã Quảng Đông,1616,Thành phố Thanh Hóa,234,Thanh Hóa,BTB,20329000,Bưu Cục Khu Phố 1-TP.Thanh Hóa-Thanh Hóa,,,,,
270702,14620,Thị trấn Phát Diệm,3205,Huyện Kim Sơn,233,Ninh Bình,TNT,20677000,Bưu Cục Lạc Thiện-Quang Sơn-Ninh Bình,,,,,
250910,13924,Xã Nghĩa Hồng,3243,Huyện Nghĩa Hưng,231,Nam Định,TNT,21461000,Bưu Cục QL37B-Thị trấn Liễu Đề-Nghĩa Hưng-Nam Định,,,,,
1B2908,09010,Xã Mê Linh,1581,Huyện Mê Linh,201,Hà Nội,HNO,21510000,Bưu Cục Thôn Đại Bái-Đại Thịnh-Mê Linh-HNO,,,,,
230718,,Xã Tiến Sơn,1968,Huyện Lương Sơn,267,Hòa Bình,TNT,22721000,Bưu Cục 362 Quốc Lộ 6-Xã Lương Sơn-Hòa Bình,,,,,
410707,22729,Xã Sơn Trung,3212,Huyện Khánh Sơn,208,Khánh Hòa,NTB,20784000,Bưu Cục 111 Lê Duẫn-Khánh Sơn-Khánh Hoà,,,,,
800283,14632,Xã Xuân Chính,3205,Huyện Kim Sơn,233,Ninh Bình,TNT,20677000,Bưu Cục Lạc Thiện-Quang Sơn-Ninh Bình,,,,,
1B2911,08992,Xã Thanh Lâm,1581,Huyện Mê Linh,201,Hà Nội,HNO,21510000,Bưu Cục Thôn Đại Bái-Đại Thịnh-Mê Linh-HNO,,,,,
230706,04945,Xã Hòa Sơn,1968,Huyện Lương Sơn,267,Hòa Bình,TNT,22721000,Bưu Cục 362 Quốc Lộ 6-Xã Lương Sơn-Hòa Bình,,,,,
XãLongĐiềnĐôngA,,,,,,,TNB,20780000,Bưu Cục Quốc Lộ 1A-Khóm 5-Giá Rai-Bạc Liêu,,,,,
171304,,Xã Đài Xuyên,1920,Huyện đảo Vân Đồn,230,Quảng Ninh,XBG,1892,Bưu Cục Đảo Vân Đồn-Quảng Ninh,,,,,
